hub,betweenness
IND000000ACB,0.18931271502439753
IND562132AAA,0.11093130676286402
IND501359AAE,0.0803811997705217
IND712311AAA,0.06293093866740043
IND421302AAG,0.05476126236577052
IND160002AAC,0.04514664951357355
IND131028AAB,0.044809418383670356
IND411033AAA,0.038914007873805244
IND302014AAA,0.037061673243807484
IND600056AAB,0.036193097329195
IND209304AAA,0.03352439366731841
IND110037AAM,0.03161951816812846
IND382430AAB,0.030045776761565474
IND781018AAB,0.029936684224536717
IND462022AAA,0.023731862929449322
IND842001AAA,0.02365887840673725
IND683511AAA,0.01954855975965468
IND854326AAB,0.01645904352112817
IND530012AAA,0.015086385868929677
IND244901AAB,0.01311711731413924
