distance_bucket,route_type,avg_actual_time,avg_delay_ratio,trip_count
<100km,Carting,65.13670972904995,2.4116942812872546,43735
<100km,FTL,83.8816739621379,2.038687287395556,35867
100-300km,Carting,233.13769597818677,2.355152114970688,1467
100-300km,FTL,276.55062984496124,2.0122034536040307,24768
300-600km,Carting,522.8,2.2549611586424776,5
300-600km,FTL,621.4556348271801,1.9263281254656712,14437
600-1000km,FTL,1121.9457902761308,1.9260459897624498,11806
>1000km,FTL,1966.0320763573775,1.9310503857495673,12782
