corridor,median_delay_ratio
IND411014AAA → IND411048AAA,4.285714285714286
IND275503AAA → IND275303AAA,4.26923076923077
IND388320AAA → IND388121AAA,4.25
IND251201AAA → IND131028AAB,4.244735490498202
IND421302AAR → IND421302AAF,4.235294117647059
IND571114AAA → IND570020AAA,4.230769230769231
IND788806AAA → IND788713AAA,4.230769230769231
IND400102AAC → IND400052AAA,4.214285714285714
IND785690AAB → IND785682AAA,4.209375
IND424006AAA → IND423105AAA,4.205882352941177
IND571124AAA → IND570020AAA,4.205329153605016
IND700053AAA → IND712311AAA,4.196153846153846
IND221010AAA → IND221005A1A,4.166666666666667
IND713303AAA → IND713364AAB,4.166666666666666
IND530043AAA → IND530012AAA,4.163690476190476
IND486661AAA → IND211002AAB,4.147540983606557
IND421302AAR → IND421301AAA,4.144444444444444
IND742121AAA → IND742102AAB,4.142857142857143
IND275101AAA → IND275503AAA,4.136363636363637
IND370615AAB → IND370001AAA,4.118206521739131
IND742149AAA → IND742225AAA,4.1
IND311302AAA → IND305624AAA,4.094474153297682
IND201007AAB → IND201007AAA,4.035714285714286
IND788026AAC → IND788121AAA,4.027380952380953
IND000000AAZ → IND444303AAA,4.0
IND110085AAB → IND110083AAA,4.0
IND691305AAA → IND691551AAA,4.0
IND400072AAA → IND421302AAG,4.0
IND211010AAB → IND211002AAB,4.0
IND600044AAD → IND600048AAA,4.0
IND796321AAB → IND796009AAA,4.0
IND125121AAA → IND125001AAA,3.9833333333333334
IND713130AAA → IND741126AAB,3.9761904761904763
IND713128AAB → IND731301AAA,3.9536796536796537
IND122503AAA → IND122001AAA,3.949074074074074
IND788026AAC → IND799250AAA,3.945887445887446
IND852113AAA → IND852201AAA,3.9411764705882355
IND851127AAA → IND842001AAA,3.9375
IND335523AAB → IND125001AAA,3.9363636363636365
IND221313AAA → IND211002AAB,3.9362461419753085
IND305901AAA → IND305624AAA,3.926470588235294
IND121102AAA → IND121004AAB,3.9155172413793102
IND641062AAD → IND641001AAA,3.911111111111111
IND396191AAC → IND396210AAA,3.909090909090909
IND842001AAA → IND848101AAA,3.891891891891892
IND273303AAA → IND273304AAA,3.8779761904761907
IND635207AAA → IND635802AAB,3.869565217391304
IND122001AAA → IND110037AAM,3.8666666666666667
IND415408AAC → IND416012AAA,3.857142857142857
IND846004AAA → IND847404AAB,3.854022988505747
IND563125AAB → IND560300AAA,3.849056603773585
IND173212AAA → IND134102AAA,3.8484848484848486
IND712311AAA → IND712410AAC,3.8421052631578947
IND321408AAB → IND301001AAB,3.8301587301587303
IND444005AAB → IND000000AAZ,3.8275862068965516
IND500010AAA → IND501401AAC,3.8
IND421301AAA → IND421302AAR,3.7777777777777777
IND743347AAA → IND700053AAA,3.7777777777777777
IND331304AAA → IND332001AAB,3.773955147808359
IND500039AAC → IND500035AAA,3.769230769230769
IND700026AAC → IND712311AAA,3.765
IND788806AAA → IND788026AAC,3.75
IND852201AAA → IND852113AAA,3.75
IND798601AAA → IND785001AAA,3.7449589883800414
IND813102AAA → IND813203AAA,3.7419354838709675
IND263153AAB → IND244713AAA,3.7358490566037736
IND442001AAA → IND442101AAB,3.7142857142857144
IND276129AAA → IND221010AAB,3.7066666666666666
IND411043AAA → IND411014AAA,3.6923076923076925
