hub,degree_centrality
IND000000ACB,0.06207827260458839
IND562132AAA,0.047908232118758436
IND501359AAE,0.03778677462887989
IND160002AAC,0.03711201079622132
IND421302AAG,0.03643724696356275
IND110037AAM,0.02834008097165992
IND411033AAA,0.02834008097165992
IND712311AAA,0.027665317139001347
IND131028AAB,0.024291497975708502
IND600056AAB,0.02294197031039136
IND781018AAB,0.019568151147098516
IND209304AAA,0.019568151147098516
IND382430AAB,0.018893387314439944
IND560099AAB,0.016194331983805668
IND842001AAA,0.016194331983805668
IND462022AAA,0.013495276653171389
IND302014AAB,0.01282051282051282
IND683511AAA,0.01282051282051282
IND530012AAA,0.012145748987854251
IND000000ACA,0.012145748987854251
