hub,degree_centrality,betweenness,pagerank,clustering
IND000000AAL,0.001349527665317139,0.0,0.0005849236505290598,0.0
IND411033AAA,0.02834008097165992,0.038914007873805244,0.007015959428546708,0.05665024630541872
IND000000AAS,0.001349527665317139,3.644909291876135e-06,0.0003768913014107839,0.0
IND783370AAC,0.001349527665317139,4.100522953360652e-06,0.0004669179723135894,0.0
IND000000ABA,0.001349527665317139,0.0004191645685657555,0.0004135664358524006,1.0
IND683565AAA,0.001349527665317139,0.0004082298406901271,0.0004977631412212178,1.0
IND000000ABD,0.001349527665317139,0.0004082298406901271,0.0006055524219635664,0.0
IND562132AAA,0.047908232118758436,0.11093130676286402,0.010388202337204989,0.050170068027210885
IND000000ABG,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND501359AAF,0.0020242914979757085,0.0,0.0006259642734018659,0.0
IND000000ACA,0.012145748987854251,0.0065877179314046295,0.002929700236170137,0.10989010989010989
IND140406AAA,0.001349527665317139,0.0004191645685657555,0.000410439534496137,1.0
IND142001AAB,0.0020242914979757085,0.0004118747499820032,0.0006802206090845253,1.0
IND142401AAA,0.0020242914979757085,0.0,0.0006502472468520474,1.0
IND143001AAA,0.002699055330634278,0.0,0.0009800999969552377,1.0
IND144001AAB,0.006072874493927126,0.0020516283176647792,0.002207110516289373,0.3
IND144514AAA,0.001349527665317139,0.000418708954904271,0.00042344076375395263,1.0
IND147301AAA,0.0006747638326585695,0.0,0.00047365225509811426,0.0
IND152026AAA,0.004048582995951417,0.0008433408874078407,0.0009509576411974947,0.4
IND160002AAC,0.03711201079622132,0.04514664951357355,0.009242791305952392,0.03414634146341464
IND000000ACB,0.06207827260458839,0.18931271502439753,0.01221058843222295,0.03682057276446522
IND000000AEL,0.001349527665317139,0.0,0.0003887486449278101,0.0
IND110024AAA,0.002699055330634278,0.00042007579588872456,0.0026463613215859353,0.3333333333333333
IND110030AAD,0.0020242914979757085,0.0,0.00039792106031699367,1.0
IND110037AAK,0.001349527665317139,0.0,0.0003710741526559364,0.0
IND110043AAA,0.002699055330634278,0.0008273944092558824,0.0006553510524064329,0.0
IND110043AAC,0.001349527665317139,0.0,0.0003635453369871843,0.0
IND110052AAA,0.001349527665317139,0.0,0.00030391037247556364,0.0
IND110064AAA,0.001349527665317139,0.0,0.00033492017927043535,0.0
IND110085AAB,0.004723346828609986,0.0016657235463873935,0.0007838635870577997,0.1
IND110092AAC,0.001349527665317139,0.0,0.00032582748733174456,0.0
IND110095AAB,0.001349527665317139,0.0,0.0004091992270259014,0.0
IND121002AAB,0.001349527665317139,0.0,0.00034838345061830825,0.0
IND121004AAB,0.009446693657219972,0.004194103021562525,0.0024342471553688,0.07142857142857142
IND122001AAA,0.002699055330634278,0.0016547888185117648,0.0005595083069105964,0.0
IND122015AAC,0.0006747638326585695,0.0,0.0003775071410339045,0.0
IND124103AAA,0.001349527665317139,0.0,0.00038187773005937827,1.0
IND124112AAA,0.002699055330634278,0.0,0.0003786819041412654,0.5
IND125001AAA,0.008097165991902834,0.004465173623846033,0.0015330165118201827,0.05555555555555555
IND125005AAA,0.005398110661268556,0.005459136856841099,0.0010050718478863787,0.047619047619047616
IND125033AAA,0.001349527665317139,0.0,0.0004706329650511398,1.0
IND127021AAA,0.0020242914979757085,0.0012451921368371844,0.0006905345841387974,0.3333333333333333
IND131028AAB,0.024291497975708502,0.044809418383670356,0.0068591457729835536,0.03968253968253968
IND201001AAC,0.002699055330634278,7.626674906543948e-05,0.0005097359465095326,1.0
IND201007AAA,0.006072874493927126,0.0012620498423121117,0.0027953752959929148,0.26666666666666666
IND201301AAF,0.0067476383265856945,0.0008478970240226859,0.0025113319462220945,0.1111111111111111
