source_center,destination_center,avg_actual_time,avg_osrm_time,trip_count,delay_ratio
IND000000AAL,IND411033AAA,63.7027027027027,22.216216216216218,37,2.867396593673966
IND000000AAS,IND783370AAC,50.55555555555556,25.88888888888889,18,1.9527896995708154
IND000000ABA,IND683565AAA,30.846153846153847,19.307692307692307,13,1.5976095617529882
IND000000ABD,IND562132AAA,336.86805555555554,201.98611111111111,144,1.6677783125902494
IND000000ABG,IND501359AAF,111.17073170731707,20.70731707317073,41,5.36866902237927
IND000000ACA,IND140406AAA,52.333333333333336,30.5,6,1.7158469945355193
IND000000ACA,IND142001AAB,64.36111111111111,39.97222222222222,36,1.610145934676859
IND000000ACA,IND142401AAA,40.916666666666664,19.041666666666668,24,2.1487964989059076
IND000000ACA,IND143001AAA,116.14285714285714,70.14285714285714,7,1.6558044806517311
IND000000ACA,IND144001AAB,57.549019607843135,35.13725490196079,51,1.6378348214285712
IND000000ACA,IND144514AAA,83.04166666666667,46.125,24,1.8003613369467029
IND000000ACA,IND147301AAA,50.333333333333336,23.666666666666668,6,2.1267605633802815
IND000000ACA,IND152026AAA,104.57142857142857,71.28571428571429,7,1.4669338677354709
IND000000ACA,IND160002AAC,84.5973597359736,41.41914191419142,303,2.042470119521912
IND000000ACB,IND000000AEL,85.44202898550725,40.333333333333336,138,2.118397412863816
IND000000ACB,IND110024AAA,91.44444444444444,44.583333333333336,36,2.0510903426791276
IND000000ACB,IND110030AAD,64.83703703703704,35.86666666666667,135,1.8077240809582815
IND000000ACB,IND110037AAK,52.949367088607595,26.962025316455698,158,1.9638497652582159
IND000000ACB,IND110043AAA,53.38805970149254,26.074626865671643,67,2.047510017172295
IND000000ACB,IND110043AAC,74.44444444444444,39.22222222222222,45,1.8980169971671388
IND000000ACB,IND110052AAA,62.92857142857143,45.714285714285715,14,1.3765625
IND000000ACB,IND110064AAA,67.08391608391608,40.71328671328671,286,1.6477155616626589
IND000000ACB,IND110085AAB,71.8,44.2060606060606,165,1.6242116808335618
IND000000ACB,IND110092AAC,77.51428571428572,49.42857142857143,35,1.5682080924855493
IND000000ACB,IND110095AAB,113.98872180451127,49.6203007518797,266,2.2972194863247215
IND000000ACB,IND121002AAB,74.27272727272727,42.070381231671554,341,1.7654398438589152
IND000000ACB,IND121004AAB,68.64864864864865,40.64324324324324,185,1.6890543955313206
IND000000ACB,IND122001AAA,40.38392857142857,25.290178571428573,224,1.5968225948808472
IND000000ACB,IND122015AAC,50.25,24.875,8,2.020100502512563
IND000000ACB,IND124103AAA,74.24137931034483,36.06896551724138,29,2.0583173996175907
IND000000ACB,IND124112AAA,126.05714285714286,62.08571428571429,35,2.030372756557754
IND000000ACB,IND125001AAA,172.0,80.68571428571428,105,2.131728045325779
